Date,Close,Volume,Open,High,Low
08/22/2023,177.23,42084250,177.06,177.68,176.25
08/21/2023,175.84,46311880,175.07,176.13,173.735
08/18/2023,174.49,61172150,172.30,175.10,171.96
08/17/2023,174.00,66062880,177.14,177.5054,173.48
08/16/2023,176.57,46964860,177.13,178.54,176.50
08/15/2023,177.45,43622590,178.88,179.48,177.05
08/14/2023,179.46,43675630,177.97,179.69,177.305
08/11/2023,177.79,52036670,177.32,178.62,176.55
08/10/2023,177.97,54686850,179.48,180.75,177.60
08/09/2023,178.19,60378490,180.87,180.93,177.01
08/08/2023,179.80,67823000,179.69,180.27,177.58
08/07/2023,178.85,97576070,182.13,183.13,177.35
08/04/2023,181.99,115956800,185.52,187.38,181.92
08/03/2023,191.17,62243280,191.57,192.37,190.69
08/02/2023,192.58,50389330,195.04,195.18,191.8507
08/01/2023,195.605,35281430,196.235,196.73,195.28
07/31/2023,196.45,38824110,196.06,196.49,195.26
07/28/2023,195.83,48291440,194.67,196.626,194.14
07/27/2023,193.22,47460180,196.02,197.20,192.55
07/26/2023,194.50,47471870,193.67,195.64,193.32
07/25/2023,193.62,37283200,193.33,194.44,192.915
07/24/2023,192.75,45505100,193.41,194.91,192.25
