 Date,Close,Volume,Open,High,Low
08/22/2023,177.23,42084250,177.06,177.68,176.25
08/21/2023,175.84,46311880,175.07,176.13,173.735
08/18/2023,174.49,61172150,172.30,175.10,171.96
08/17/2023,174.00,66062880,177.14,177.5054,173.48
08/16/2023,176.57,46964860,177.13,178.54,176.50
08/15/2023,177.45,43622590,178.88,179.48,177.05
08/14/2023,179.46,43675630,177.97,179.69,177.305
08/11/2023,177.79,52036670,177.32,178.62,176.55
08/10/2023,177.97,54686850,179.48,180.75,177.60
08/09/2023,178.19,60378490,180.87,180.93,177.01
08/08/2023,179.80,67823000,179.69,180.27,177.58
08/07/2023,178.85,97576070,182.13,183.13,177.35
08/04/2023,181.99,115956800,185.52,187.38,181.92
08/03/2023,191.17,62243280,191.57,192.37,190.69
08/02/2023,192.58,50389330,195.04,195.18,191.8507
08/01/2023,195.605,35281430,196.235,196.73,195.28
07/31/2023,196.45,38824110,196.06,196.49,195.26
07/28/2023,195.83,48291440,194.67,196.626,194.14
07/27/2023,193.22,47460180,196.02,197.20,192.55
07/26/2023,194.50,47471870,193.67,195.64,193.32
07/25/2023,193.62,37283200,193.33,194.44,192.915
07/24/2023,192.75,45505100,193.41,194.91,192.25
07/21/2023,191.94,71951680,194.10,194.97,191.23
07/20/2023,193.13,59581200,195.09,196.47,192.495
07/19/2023,195.10,80507320,193.10,198.23,192.65
07/18/2023,193.73,48353770,193.35,194.33,192.415
07/17/2023,193.99,50520160,191.90,194.32,191.81
07/14/2023,190.69,41616240,190.23,191.1799,189.63
07/13/2023,190.54,41342340,190.50,191.19,189.78
07/12/2023,189.77,60750250,189.68,191.70,188.47
07/11/2023,188.08,46638120,189.16,189.30,186.60
07/10/2023,188.61,59922160,189.26,189.99,187.035
07/07/2023,190.68,46815000,191.41,192.67,190.24
07/06/2023,191.81,45156010,189.84,192.02,189.20
07/05/2023,191.33,46920260,191.565,192.98,190.62
07/03/2023,192.46,31346600,193.78,193.88,191.76
06/30/2023,193.97,85213220,191.63,194.48,191.26
06/29/2023,189.59,46347310,189.08,190.07,188.94
06/28/2023,189.25,51216800,187.93,189.90,187.60
06/27/2023,188.06,50730850,185.89,188.39,185.67
06/26/2023,185.27,48088660,186.83,188.05,185.23
06/23/2023,186.68,53117000,185.55,187.56,185.01
06/22/2023,187.00,51245330,183.74,187.045,183.67
06/21/2023,183.96,49515700,184.90,185.41,182.5901
06/20/2023,185.01,49799090,184.41,186.10,184.41
06/16/2023,184.92,101256200,186.73,186.99,184.27
06/15/2023,186.01,65433170,183.96,186.52,183.78
06/14/2023,183.95,57462880,183.37,184.39,182.02
06/13/2023,183.31,54929130,182.80,184.15,182.44
06/12/2023,183.79,54755000,181.27,183.89,180.97
06/09/2023,180.96,48899970,181.50,182.23,180.63
06/08/2023,180.57,50214880,177.895,180.84,177.46
06/07/2023,177.82,61944620,178.44,181.21,177.32
06/06/2023,179.21,64848370,179.965,180.12,177.43
06/05/2023,179.58,121946500,182.63,184.951,178.035
06/02/2023,180.95,61996910,181.03,181.78,179.26
06/01/2023,180.09,68901810,177.70,180.12,176.9306
05/31/2023,177.25,99625290,177.325,179.35,176.76
05/30/2023,177.30,55964400,176.96,178.99,176.57
05/26/2023,175.43,54834980,173.32,175.77,173.11
05/25/2023,172.99,56058260,172.41,173.895,171.69
05/24/2023,171.84,45143490,171.09,172.4183,170.52
05/23/2023,171.56,50747260,173.13,173.3794,171.275
05/22/2023,174.20,43570930,173.98,174.71,173.45
05/19/2023,175.16,55809480,176.39,176.39,174.94
05/18/2023,175.05,65496660,173.00,175.24,172.58
05/17/2023,172.69,57951600,171.71,172.925,170.4201
05/16/2023,172.07,42110290,171.99,173.1383,171.7991
05/15/2023,172.07,37266660,173.16,173.21,171.47
05/12/2023,172.57,45533140,173.62,174.06,171.00
05/11/2023,173.75,49514680,173.85,174.59,172.17
05/10/2023,173.555,53724500,173.02,174.03,171.90
05/09/2023,171.77,45326870,173.05,173.54,171.60
05/08/2023,173.50,55962790,172.48,173.85,172.11
05/05/2023,173.57,113453200,170.975,174.30,170.76
05/04/2023,165.79,81235430,164.89,167.04,164.31
05/03/2023,167.45,65136020,169.50,170.92,167.16
05/02/2023,168.54,48425700,170.09,170.35,167.54
05/01/2023,169.59,52472940,169.28,170.45,168.64
04/28/2023,169.68,55275850,168.49,169.85,167.8801
04/27/2023,168.41,64902330,165.19,168.56,165.19
04/26/2023,163.76,45498800,163.055,165.28,162.80
04/25/2023,163.77,48714060,165.19,166.305,163.73
04/24/2023,165.33,41949580,165.00,165.60,163.89
04/21/2023,165.02,58337340,165.05,166.4521,164.49
04/20/2023,166.65,52456380,166.09,167.87,165.56
04/19/2023,167.63,47720170,165.80,168.16,165.54
