Date,Close,Volume,Open,High,Low
08/22/2023,322.46,16102020,325.50,326.075,321.46
08/21/2023,321.88,24039960,317.93,322.77,317.04
08/18/2023,316.48,24755010,314.49,318.38,311.5508
08/17/2023,316.88,21257160,320.54,321.87,316.21
08/16/2023,320.40,20698860,320.80,324.42,319.8035
08/15/2023,321.86,16966290,323.00,325.09,320.9034
08/14/2023,324.04,18836140,321.39,324.06,320.08
08/11/2023,321.01,24355490,320.26,322.41,319.21
08/10/2023,322.93,20113730,326.015,328.26,321.18
08/09/2023,322.23,22373270,326.47,327.11,321.0499
08/08/2023,326.05,22327570,326.96,328.75,323.00
08/07/2023,330.11,17741530,328.37,331.11,327.52
08/04/2023,327.78,23741480,331.88,335.14,327.24
08/03/2023,326.66,18360350,326.00,329.88,325.95
08/02/2023,327.50,27761260,333.63,333.63,326.3551
08/01/2023,336.34,18381250,335.19,338.54,333.70
07/31/2023,335.92,25446020,336.92,337.695,333.36
07/28/2023,338.37,28484870,333.67,340.01,333.17
07/27/2023,330.72,39635260,340.48,341.33,329.05
07/26/2023,337.77,58383700,341.44,344.67,333.11
07/25/2023,350.98,41637740,347.11,351.89,345.07
07/24/2023,345.11,26719210,345.85,346.92,342.31
